Vinyl Revival,Chip 'n' Ern,2026-02-15,3pm to late,Free,,,,"Vinyl Records on the third Sunday of the month from <a href=""https://www.facebook.com/people/3rd-Sunday-Vinyl-Revival/61566812518164"">Vinyl Revival</a>",,,,,,,,
Matt & Ella,Chip 'n' Ern,2026-03-12,7:30pm for 8pm start.,Free,,,,Brought together through their love of music Matt & Ella will be mixing styles and genres for an evening of acoustic ballads and bangers,2026-02-23,,,,,,,
Vinyl Revival,Chip 'n' Ern,2026-03-15,3pm to late,Free,,,,"Vinyl Records on the third Sunday of the month from <a href=""https://www.facebook.com/people/3rd-Sunday-Vinyl-Revival/61566812518164"">Vinyl Revival</a>",,,,,,,,
4 Short Sets,Chip 'n' Ern,2026-03-26,7:30pm for 8pm start.,Free,,,,"Live acoustic music from four great acts. We've got Alan Eaton, The Cobbydale Stealers, Cath Harney, and Matt and Margret.",2026-03-02,,,,,,,
2 Dave's and a John,Chip 'n' Ern,2026-04-02,7:30pm for 8pm start.,Free,,,,"A mini-supergroup from the BLAST session at the Library, out for a night of great acoustic music. ",2026-02-13,,,,,,,
Chris Mullen,Chip 'n' Ern,2026-04-16,7:30pm for 8pm start.,Free,,,,"Musician, singer song writer, jammer..world folk influenced",2026-02-13,,,,,,,
Vinyl Revival,Chip 'n' Ern,2026-04-19,3pm to late,Free,,,,"Vinyl Records on the third Sunday of the month from <a href=""https://www.facebook.com/people/3rd-Sunday-Vinyl-Revival/61566812518164"">Vinyl Revival</a>",,,,,,,,
Graeme Matthews,Chip 'n' Ern,2026-05-14,7:30pm for 8pm start.,PAYF,,,,Indie Folk Mostly original songs with some covers ,2026-05-10,,,,,,,
Vinyl Revival,Chip 'n' Ern,2026-05-17,3pm to late,Free,,,,"Vinyl Records on the third Sunday of the month from <a href=""https://www.facebook.com/people/3rd-Sunday-Vinyl-Revival/61566812518164"">Vinyl Revival</a>",,,,,,,,
Halstead Clan,Chip 'n' Ern,2026-06-18,7:30pm for 8pm start.,Free,,,,Acoustic Folk/Blues Inspired Band from Bradford UK.,2026-06-11,,,,,,,
Vinyl Revival,Chip 'n' Ern,2026-06-21,3pm to late,Free,,,,"Vinyl Records on the third Sunday of the month from <a href=""https://www.facebook.com/people/3rd-Sunday-Vinyl-Revival/61566812518164"">Vinyl Revival</a>",,,,,,,,
Acoustic Showcase,Chip 'n' Ern,2026-06-25,7:30pm for 8pm start.,Free,,,,Paul from The Wild Geese curates and evening of short sets from local singer songwriters.,,,,,,,,
Call Me Anna,Chip 'n' Ern,2026-07-09,7:30pm for 8pm start.,Free,,,,"Call Me Anna continues to explore her unique take on contemporary folk song. At once ancient yet modern, her voice captivates audiences.  Her debut EP Fall Of A Leaf EP was featured on the Radio 2 Folk Show and in Feb 2025 Call Me Anna was named a “highly recommended artist” after being selected to perform at Celtic Connections in Glasgow on the Danny Kyle Open Stage. She's becoming a popular live performer and her set has been described as “intimate and heartwarming” (Fatea)",2026-05-13,,,,,,,
The Wild Geese,Chip 'n' Ern,2026-07-23,7:30pm for 8pm start.,Free,,,,"Much, much more than a 'load of Irish tunes and Folk 'n Ballads!' - a seminal Bradford Irish band.",2026-03-28,,,,,,,
Pretty Vengeance,Chip 'n' Ern,2026-08-13,7:30pm for 8pm start.,"Under 21's £2.50, Over 21's £4",https://www.eventbrite.com/e/pretty-vengeance-at-chip-nern-tickets-1996781862302,,,Join Pretty Vengeance for an acoustic set at Bingley's Chip N'Ern spanning crowdpleasing genres. Joined by brilliant support Edie Andrews.,,,,,,,,
Graeme Matthews,Chip 'n' Ern,2026-10-08,7:30pm for 8pm start.,PWYF,,,,Singer songwriter from Wharfedale playing original songs that are somewhere between indie folk and country. This is a Pay What You Feel event.,2026-08-18,,,,,,,
Six Days,Chip 'n' Ern,2026-10-22,7:30pm for 8pm start.,Free,,,,"Americana. Songs by great writers like John Hiatt, Chris Hillman, Rodney Crowell, Lyle Lovett, etc",2026-03-04,,,,,,,
Cath Harney Trio,Chip 'n' Ern,2026-11-12,7:30pm for 8pm start.,Free,,,,West Yorkshire-based singer‑songwriter and performer whose warm vocals and thoughtful lyrics have found a cherished place in the local folk and acoustic music scene.,2026-08-03,,,,,,,
Laurel Canyon Acoustic,Chip 'n' Ern,2026-11-26,7:30pm for 8pm start.,Free,,,,"West Coast vibes from the late 60’s/early 70s eg Eagles; The Byrds; James Taylor; Crosby, Stills Nash and Young etc.",,,,,,,,
Vince Cayo,Chip 'n' Ern,2026-11-27,7:30pm for 8pm start.,£10,https://www.eventbrite.co.uk/e/vince-cayo-does-the-shane-macgowan-songbook-tickets-1998229898417,,,"Join Vince Cayo in celebrating the work of Shane MacGowan over two sets at Bingley's intimate Chip'N'Ern pub. 

This is not a tribute night - these will be one-off unique interpretation of known and lesser-known material done in Vince's own style and delivery whilst also paying his respects to one of his greatest influences, the recently departed Shane MacGowan.

One night only! Only 25 tickets available so secure them early and don't miss out on a truly one-off event.",,,,,,,,
